,text,lemma,gender,number,animate,count
374,אמצי,אמץ,Masc,Sing,False,31
375,אמצים,אמץ,Masc,Plur,False,2
376,אמר,אמר,Masc,Sing,False,2
377,אמרי,אמר,Masc,Plur,False,1055
378,אמרי,אמר,Masc,Sing,False,164
379,אמרים,אמר,Masc,Plur,False,53
380,אנדרטאות,אנדרטה,Fem,Plur,False,1635
381,אנדרטאותי,אנדרטה,Masc,Plur,False,2
382,אנדרטה,אנדרטה,Fem,Sing,False,6529
383,אנדרטות,אנדרטה,Fem,Plur,False,71
384,אנדרטת,אנדרטה,Fem,Sing,False,1659
385,אנה,אנה,Fem,Sing,False,288
386,אנה,אנה,Masc,Sing,False,4
387,אניגמה,אניגמה,Fem,Sing,False,566
388,אניה,אניה,Masc,Sing,False,2
389,אנכי,אנס,Masc,Sing,True,2
390,אננס,אננס,Masc,Sing,False,264
391,אננסי,אננס,Masc,Sing,False,5
392,אננסים,אננס,Masc,Plur,False,7
393,אנס,אנס,Masc,Sing,True,1048
394,אנסמבל,אנסמבל,Masc,Sing,False,1582
395,אנסמבלים,אנסמבל,Masc,Plur,False,42
396,אנפה,אנפה,Fem,Sing,True,444
397,אנפת,אנפה,Fem,Sing,True,83
398,אנשי,איש,Masc,Plur,True,61806
399,אנשים,איש,Masc,Plur,True,58658
400,אנתרופומורפיזם,אנתרופומורפיזם,Fem,Sing,False,2
401,אנתרופומורפיזם,אנתרופומורפיזם,Masc,Sing,False,6
403,אסון,אסון,Masc,Sing,False,6441
404,אסונ,אסון,Masc,Sing,False,22
405,אסונו,אסון,Masc,Sing,False,3
406,אסונות,אסון,Fem,Plur,False,2
407,אסונות,אסון,Masc,Plur,False,2574
408,אסונותי,אסון,Masc,Plur,False,2
409,אסוף,אסוף,Masc,Sing,False,47
410,אסופי,אסוף,Masc,Sing,False,16
411,אסופים,אסוף,Masc,Plur,False,11
412,אסור,אסור,Masc,Sing,False,3
413,אסורי,אסור,Masc,Plur,False,9
414,אסורים,אסור,Masc,Plur,False,76
415,אספ,אסף,Fem,Sing,False,5
416,אספ,אסף,Masc,Sing,False,13
417,אספי,אסף,Masc,Plur,False,3
418,אספים,אסף,Masc,Plur,False,4
419,אספירציה,אספירציה,Fem,Sing,False,19
420,אספקה,אספקה,Fem,Sing,False,5705
421,אספקות,אספקה,Fem,Plur,False,22
422,אספקת,אספקה,Fem,Sing,False,5488
423,אסתמה,אסתמה,Fem,Sing,False,563
424,אפור,אפור,Masc,Sing,False,61
425,אפורי,אפור,Masc,Plur,False,2
426,אפורים,אפור,Masc,Plur,False,29
427,אפים,אפיה,Masc,Sing,False,2
428,אפיק,אפיק,Masc,Sing,False,1540
429,אפיקי,אפיק,Masc,Plur,False,335
